age;education;sex;workhour;earning
39;13;1;40;1
50;13;1;13;1
38;9;1;40;1
53;7;1;40;1
28;13;2;40;1
37;14;2;40;1
49;5;2;16;1
52;9;1;45;2
31;14;2;50;2
42;13;1;40;2
37;10;1;80;2
30;13;1;40;2
23;13;2;30;1
32;12;1;50;1
40;11;1;40;2
34;4;1;45;1
25;9;1;35;1
32;9;1;40;1
38;7;1;50;1
43;14;2;45;2
40;16;1;60;2
54;9;2;20;1
35;5;1;40;1
43;7;1;40;1
59;9;2;40;1
56;13;1;40;2
19;9;1;40;1
54;10;1;60;2
39;9;1;80;1
49;9;1;40;1
23;12;1;52;1
20;10;1;44;1
45;13;1;40;1
30;10;1;40;1
22;10;1;15;1
48;7;1;40;1
21;10;1;40;1
19;9;2;25;1
31;10;1;38;2
48;12;1;40;1
31;5;1;43;1
53;13;1;40;1
24;13;1;50;1
49;9;2;40;1
25;9;1;35;1
57;13;1;40;2
53;9;1;38;1
44;14;2;40;1
41;11;1;40;1
29;11;1;43;1
25;10;2;40;1
18;9;2;30;1
47;15;2;60;2
50;13;1;55;2
47;9;1;60;1
43;10;1;40;2
46;3;1;40;1
35;11;1;40;1
41;9;1;48;1
30;9;1;40;1
30;13;1;40;1
32;4;1;40;1
48;9;1;40;1
42;16;1;45;2
29;10;1;58;1
36;9;1;40;1
28;10;2;40;1
53;9;2;40;2
49;10;1;50;2
25;10;1;40;1
19;10;1;32;1
31;13;2;40;1
29;13;1;70;2
23;10;1;40;1
79;10;1;20;1
27;9;1;40;1
40;12;1;40;1
67;6;1;2;1
18;7;2;22;1
31;4;1;40;1
18;9;1;30;1
52;13;1;40;1
46;9;2;40;1
59;9;1;48;1
44;9;2;40;2
53;9;2;35;1
49;9;1;40;2
33;14;1;50;1
30;5;1;40;1
43;16;2;50;2
57;11;1;40;1
37;10;2;40;1
28;10;2;25;1
30;9;2;35;1
34;13;1;40;2
29;10;1;50;1
48;16;1;60;2
37;10;1;48;2
48;12;2;40;1
32;9;1;40;1
76;14;1;40;2
44;13;1;60;2
47;14;2;50;1
20;10;2;40;1
29;9;1;40;1
32;9;1;40;2
17;6;2;32;1
30;7;1;40;1
31;9;2;40;1
42;9;1;40;1
24;13;1;40;1
38;15;1;40;2
56;9;1;50;2
28;10;2;25;1
36;9;2;40;1
53;5;1;50;1
56;10;1;50;1
49;11;1;40;2
55;10;1;56;1
22;9;1;41;1
21;10;2;40;1
40;13;1;60;1
30;13;1;40;1
29;13;1;50;2
19;10;1;35;1
47;13;2;40;2
20;10;2;28;1
31;12;1;40;2
35;9;1;40;1
39;10;1;40;1
28;12;2;60;1
24;9;2;40;1
38;9;1;35;1
37;13;1;50;1
46;12;2;36;1
38;14;1;40;2
43;9;1;60;1
27;11;2;35;1
20;10;1;20;1
49;10;1;40;2
61;9;1;40;1
27;10;2;40;1
19;10;1;30;1
45;11;2;40;2
70;10;1;40;1
31;9;2;30;1
22;10;1;24;1
36;9;2;24;1
64;7;1;40;1
43;10;2;40;1
47;10;2;38;1
34;9;2;40;1
33;13;2;40;1
21;9;1;35;1
52;9;1;45;2
48;9;1;46;1
23;13;1;40;1
71;10;1;2;1
29;9;1;60;1
42;13;1;50;1
68;2;2;20;1
25;9;2;40;1
44;14;2;40;1
28;9;2;40;1
45;14;1;40;2
36;10;2;40;1
39;12;1;42;1
46;14;1;40;1
18;7;1;16;1
66;11;2;20;1
27;9;1;40;1
28;9;1;40;1
51;10;1;40;2
27;13;1;50;1
28;13;1;40;2
27;9;2;25;1
21;9;1;40;1
34;9;1;40;1
18;9;1;12;1
33;13;1;65;1
44;10;1;38;2
43;10;2;40;1
30;10;1;45;1
40;4;1;40;2
37;10;1;42;2
34;9;1;40;1
41;13;2;40;1
53;13;2;50;1
31;14;2;50;1
58;16;1;1;2
38;10;2;28;1
24;10;1;40;1
41;13;1;40;1
47;10;1;45;1
