age;workart;grade;married;position;familiyperson;color;sex;workhours;earning
49;Private;HS-grad;Divorced;Craft-repair;Not-in-family;White;Male;50;<=50K
28;Local-gov;Bachelors;Never-married;Prof-specialty;Not-in-family;White;Male;52;<=50K
43;Local-gov;Some-college;Married-civ-spouse;Tech-support;Husband;White;Male;99;>50K
33;Private;Assoc-acdm;Divorced;Machine-op-inspct;Unmarried;Amer-Indian-Eskimo;Female;40;<=50K
35;Private;Some-college;Divorced;Machine-op-inspct;Unmarried;Black;Female;55;<=50K
17;Private;11th;Never-married;Sales;Own-child;White;Female;20;<=50K
25;Private;HS-grad;Married-civ-spouse;Handlers-cleaners;Husband;White;Male;40;<=50K
41;Private;HS-grad;Divorced;Craft-repair;Unmarried;White;Female;40;<=50K
30;Private;Masters;Never-married;Tech-support;Unmarried;White;Male;45;<=50K
48;Private;Assoc-voc;Married-civ-spouse;Other-service;Husband;Asian-Pac-Islander;Male;56;>50K
61;Local-gov;Some-college;Married-civ-spouse;Adm-clerical;Husband;White;Male;35;<=50K
41;Private;HS-grad;Separated;Craft-repair;Not-in-family;White;Male;40;<=50K
36;Private;HS-grad;Never-married;Tech-support;Not-in-family;White;Male;50;<=50K
24;Local-gov;Some-college;Never-married;Protective-serv;Not-in-family;White;Male;40;<=50K
27;Private;HS-grad;Never-married;Adm-clerical;Own-child;Black;Male;40;<=50K
18;Private;11th;Never-married;Prof-specialty;Own-child;White;Female;2;<=50K
20;Private;Some-college;Never-married;Prof-specialty;Own-child;White;Female;15;<=50K
18;Private;Some-college;Never-married;Other-service;Own-child;White;Male;12;<=50K
23;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male;40;<=50K
43;State-gov;Masters;Married-civ-spouse;Prof-specialty;Husband;White;Male;45;>50K
38;State-gov;Some-college;Married-civ-spouse;Exec-managerial;Wife;Black;Female;40;<=50K
36;Private;Some-college;Divorced;Adm-clerical;Unmarried;White;Female;40;<=50K
28;Self-emp-not-inc;Bachelors;Never-married;Exec-managerial;Not-in-family;White;Male;50;<=50K
47;Private;Some-college;Married-civ-spouse;Craft-repair;Husband;White;Male;40;<=50K
51;Private;Doctorate;Married-civ-spouse;Exec-managerial;Husband;White;Male;84;>50K
35;Private;Bachelors;Married-civ-spouse;Exec-managerial;Husband;White;Male;40;>50K
38;State-gov;Bachelors;Married-civ-spouse;Protective-serv;Husband;White;Male;60;<=50K
47;Federal-gov;Some-college;Married-civ-spouse;Adm-clerical;Husband;Black;Male;40;>50K
26;Private;11th;Divorced;Craft-repair;Not-in-family;White;Female;40;<=50K
31;State-gov;Some-college;Divorced;Protective-serv;Not-in-family;White;Male;40;>50K
46;Private;Some-college;Divorced;Adm-clerical;Unmarried;Black;Female;35;<=50K
49;Private;Some-college;Never-married;Exec-managerial;Unmarried;White;Female;40;<=50K
19;Private;HS-grad;Never-married;Sales;Own-child;White;Female;30;<=50K
45;Self-emp-inc;Some-college;Married-civ-spouse;Farming-fishing;Husband;White;Male;50;<=50K
46;Private;Bachelors;Married-civ-spouse;Prof-specialty;Husband;White;Male;45;>50K
70;Self-emp-not-inc;Some-college;Married-civ-spouse;Tech-support;Husband;White;Male;20;<=50K
19;Private;Some-college;Never-married;Adm-clerical;Own-child;White;Female;20;<=50K
46;Private;Assoc-voc;Married-civ-spouse;Craft-repair;Husband;White;Male;50;<=50K
20;Private;Some-college;Never-married;Transport-moving;Own-child;White;Male;35;<=50K
17;Private;11th;Never-married;Other-service;Other-relative;White;Female;22;<=50K
43;Private;Some-college;Married-civ-spouse;Exec-managerial;Husband;White;Male;49;>50K
19;Private;Some-college;Never-married;Other-service;Own-child;White;Female;15;<=50K
37;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male;40;<=50K
51;Private;HS-grad;Widowed;Prof-specialty;Unmarried;White;Female;40;<=50K
40;Local-gov;Bachelors;Married-civ-spouse;Prof-specialty;Husband;White;Male;40;>50K
24;Private;Some-college;Never-married;Craft-repair;Own-child;White;Male;60;<=50K
31;Private;Assoc-acdm;Married-civ-spouse;Prof-specialty;Husband;White;Male;40;<=50K
59;Private;Assoc-voc;Married-civ-spouse;Prof-specialty;Husband;White;Male;50;>50K
27;Private;HS-grad;Never-married;Other-service;Unmarried;Black;Female;40;<=50K
40;Private;Bachelors;Married-civ-spouse;Prof-specialty;Husband;White;Male;99;>50K
30;Self-emp-not-inc;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male;40;<=50K
28;Private;Assoc-acdm;Never-married;Adm-clerical;Own-child;White;Male;32;<=50K
25;Private;HS-grad;Never-married;Craft-repair;Own-child;Black;Male;50;<=50K
22;Private;Bachelors;Never-married;Sales;Not-in-family;White;Female;20;<=50K
21;State-gov;Some-college;Never-married;Exec-managerial;Own-child;White;Male;40;<=50K
67;?;Some-college;Married-civ-spouse;?;Husband;White;Male;6;<=50K
35;Self-emp-inc;Bachelors;Never-married;Exec-managerial;Not-in-family;White;Female;60;>50K
54;Local-gov;HS-grad;Married-civ-spouse;Exec-managerial;Husband;White;Male;56;<=50K
36;Private;HS-grad;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;40;<=50K
29;Private;Bachelors;Married-civ-spouse;Sales;Husband;White;Male;40;<=50K
32;Federal-gov;HS-grad;Never-married;Exec-managerial;Unmarried;White;Female;40;<=50K
55;Private;HS-grad;Divorced;Transport-moving;Not-in-family;White;Male;40;<=50K
56;Federal-gov;Masters;Divorced;Adm-clerical;Unmarried;White;Female;40;<=50K
19;Private;Some-college;Never-married;Other-service;Own-child;Black;Male;25;<=50K
36;Private;HS-grad;Never-married;Other-service;Not-in-family;Black;Female;40;<=50K
58;Private;HS-grad;Widowed;Adm-clerical;Not-in-family;White;Female;40;>50K
35;Private;HS-grad;Divorced;Adm-clerical;Unmarried;White;Female;40;<=50K
44;Private;10th;Separated;Machine-op-inspct;Unmarried;Black;Female;40;<=50K
40;Self-emp-inc;HS-grad;Married-civ-spouse;Exec-managerial;Husband;White;Male;40;<=50K
18;Private;HS-grad;Never-married;Other-service;Own-child;White;Female;20;<=50K
71;Self-emp-not-inc;HS-grad;Married-civ-spouse;Farming-fishing;Husband;Amer-Indian-Eskimo;Male;35;<=50K
51;Federal-gov;HS-grad;Married-civ-spouse;Exec-managerial;Husband;White;Male;57;>50K
27;?;HS-grad;Never-married;?;Own-child;Black;Male;40;<=50K
20;Private;12th;Never-married;Other-service;Own-child;White;Male;35;<=50K
33;?;11th;Never-married;?;Not-in-family;White;Female;40;<=50K
34;Private;Assoc-voc;Divorced;Tech-support;Unmarried;Black;Female;40;<=50K
28;Private;Assoc-voc;Married-civ-spouse;Other-service;Husband;White;Male;40;>50K
23;Private;Some-college;Never-married;Adm-clerical;Not-in-family;White;Female;24;<=50K
36;Private;Some-college;Married-civ-spouse;Craft-repair;Husband;White;Male;50;<=50K
42;Private;Prof-school;Divorced;Prof-specialty;Not-in-family;White;Female;39;>50K
31;Local-gov;Bachelors;Never-married;Craft-repair;Not-in-family;White;Male;40;>50K
19;?;HS-grad;Never-married;?;Own-child;Black;Male;10;<=50K
38;Local-gov;Masters;Divorced;Prof-specialty;Not-in-family;Black;Male;40;<=50K
22;Private;HS-grad;Never-married;Adm-clerical;Unmarried;White;Female;40;<=50K
36;Private;Assoc-voc;Divorced;Adm-clerical;Unmarried;Black;Female;54;<=50K
36;Private;Masters;Married-civ-spouse;Sales;Husband;White;Male;50;>50K
17;Private;11th;Never-married;Handlers-cleaners;Own-child;White;Male;18;<=50K
30;Federal-gov;Some-college;Never-married;Adm-clerical;Own-child;Black;Female;40;<=50K
35;Self-emp-not-inc;9th;Married-civ-spouse;Craft-repair;Husband;White;Male;30;<=50K
32;Private;Masters;Never-married;Exec-managerial;Not-in-family;White;Male;40;>50K
42;Private;Bachelors;Married-civ-spouse;Exec-managerial;Husband;White;Male;40;>50K
54;Private;Some-college;Never-married;Exec-managerial;Not-in-family;White;Female;45;>50K
36;Private;Bachelors;Married-civ-spouse;Sales;Husband;White;Male;35;>50K
58;Private;10th;Never-married;Other-service;Not-in-family;White;Male;40;<=50K
39;Private;Assoc-voc;Married-civ-spouse;Other-service;Husband;White;Male;40;<=50K
62;Local-gov;HS-grad;Widowed;Adm-clerical;Not-in-family;White;Female;38;<=50K
51;Private;HS-grad;Divorced;Prof-specialty;Unmarried;White;Male;40;<=50K
52;Private;Some-college;Divorced;Exec-managerial;Not-in-family;White;Female;50;<=50K
25;Private;HS-grad;Never-married;Sales;Own-child;White;Female;30;<=50K
26;Private;Bachelors;Never-married;Adm-clerical;Not-in-family;White;Female;40;<=50K
26;Private;10th;Married-civ-spouse;Craft-repair;Own-child;Black;Male;40;<=50K
59;State-gov;Bachelors;Never-married;Exec-managerial;Not-in-family;Black;Female;40;<=50K
21;Private;HS-grad;Never-married;Farming-fishing;Other-relative;White;Male;50;<=50K
45;Private;Masters;Married-civ-spouse;Tech-support;Husband;White;Male;18;>50K
26;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male;36;<=50K
68;Self-emp-not-inc;10th;Widowed;Farming-fishing;Unmarried;White;Male;20;<=50K
60;Private;HS-grad;Married-civ-spouse;Other-service;Husband;White;Male;40;>50K
65;Private;HS-grad;Married-civ-spouse;Sales;Husband;White;Male;18;<=50K
41;Private;Masters;Divorced;Exec-managerial;Unmarried;White;Female;45;<=50K
34;Private;HS-grad;Married-civ-spouse;Transport-moving;Husband;White;Male;50;<=50K
28;Private;HS-grad;Married-civ-spouse;Adm-clerical;Husband;Black;Male;40;<=50K
40;Private;Assoc-voc;Never-married;Adm-clerical;Not-in-family;White;Female;40;<=50K
57;Private;Masters;Married-civ-spouse;Prof-specialty;Husband;White;Male;60;>50K
37;Private;11th;Married-civ-spouse;Craft-repair;Husband;White;Male;50;<=50K
34;Private;10th;Divorced;Machine-op-inspct;Not-in-family;Black;Male;60;<=50K
21;?;11th;Married-civ-spouse;?;Wife;White;Female;56;<=50K
57;Federal-gov;Bachelors;Married-civ-spouse;Tech-support;Husband;White;Male;48;>50K
55;Private;Bachelors;Married-civ-spouse;Exec-managerial;Husband;White;Male;40;>50K
51;Private;HS-grad;Never-married;Farming-fishing;Not-in-family;White;Male;60;<=50K
56;Private;Bachelors;Married-civ-spouse;Adm-clerical;Husband;White;Male;40;>50K
32;Private;Some-college;Never-married;Exec-managerial;Not-in-family;White;Male;60;<=50K
18;Private;Some-college;Never-married;Sales;Own-child;White;Male;15;<=50K
48;Private;Assoc-voc;Married-spouse-absent;Prof-specialty;Not-in-family;White;Male;40;<=50K
46;Private;Bachelors;Married-civ-spouse;Prof-specialty;Husband;White;Male;40;>50K
41;Federal-gov;Prof-school;Married-civ-spouse;Prof-specialty;Husband;White;Male;50;>50K
33;Private;HS-grad;Married-civ-spouse;Transport-moving;Husband;White;Male;20;<=50K
33;Private;HS-grad;Never-married;Handlers-cleaners;Own-child;White;Male;40;<=50K
